sentID.BTEC	split	lang	sent
52	corpus-6-train	MSA	أريد قداحة .
53	corpus-6-train	MSA	هل لدى هذا الفندق تجهيزات للمؤتمرات ؟
56	corpus-6-train	MSA	هل من المناسب أن نتناول وجبة خفيفة ؟
57	corpus-6-train	MSA	أنا أتصل من المطار . سأصل هناك في حوالي الساعة الرابعة .
62	corpus-6-train	MSA	أين سأغير إلى شيكاغو .
63	corpus-6-train	MSA	كم تكلفة إرسال خطاب مسجل إلى فرنسا ؟
64	corpus-6-test-corpus-26-train	MSA	هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟
68	corpus-6-train	MSA	إن القيادة على الجانب الأيمن من الطريق مختلفة تماماً بالفعل .
69	corpus-6-train	MSA	كان الممثل رائعا بالفعل .
72	corpus-6-train	MSA	أين الجانب غير الخيالي في شخصيتك ؟
74	corpus-6-test-corpus-26-train	MSA	إذا حدث ذلك ، من فضلك أتصل بي .
78	corpus-6-dev	MSA	هل يمكن أن تغير مقعدي من فضلك ؟
79	corpus-6-train	MSA	هل هناك ضمانا ؟
83	corpus-6-train	MSA	عفوا , أنا سأعتني بالكلب .
84	corpus-6-train	MSA	أريد تذكرتين للقطط ليوم الخميس .
86	corpus-6-test-corpus-26-train	MSA	أين المقهى ؟
87	corpus-6-test-corpus-26-train	MSA	أريد جاكيت للأطفال .
89	corpus-6-dev	MSA	اسمك مرة ثانية ؟
90	corpus-6-train	MSA	هل مستر برون هناك ؟
91	corpus-6-test-corpus-26-train	MSA	حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .
92	corpus-6-train	MSA	هل يمكن أن أؤجر قارب ليوم ؟
93	corpus-6-train	MSA	عند أي نافذة يمكن أن أقوم بعمل الحجز ؟
94	corpus-6-train	MSA	ما هذا ؟
96	corpus-6-train	MSA	هل يمكنك أن تخبريني كيف أستطيع أن أصل إلى الأوبرا ؟
97	corpus-6-train	MSA	ألم تكن مخمور بدرجة كبيرة بعض الشيء في الليلة الماضية يا عزيزي ؟
98	corpus-6-train	MSA	من فضلك اتبع التعليمات الصادرة من موظفينا .
100	corpus-6-dev	MSA	هل يوجد هنا محل متعدد الأقسام بالقرب من هنا .
102	corpus-6-train	MSA	املأ خزان الوقود من فضلك .
103	corpus-6-train	MSA	هل يوجد غرفة بسعر أرخص ؟
104	corpus-6-train	MSA	أفضل سيارة بها نظام إلي لنقل الحركة .
105	corpus-6-train	MSA	سأقيم في مسكن الطلبة الخاص بجامعة هارفارد .
106	corpus-6-train	MSA	ما هو سعر الصرف اليوم ؟
108	corpus-6-train	MSA	أعاني بشكل مزمن من الربو .
109	corpus-6-train	MSA	معي حوالي ثلاثة آلاف دولاراً .
111	corpus-6-train	MSA	حسناً ، سيدي . فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم ، أيهما تحب ؟
112	corpus-6-train	MSA	كيف أصل إلى ذلك المكان ؟
113	corpus-6-train	MSA	أي نوع من القصص هي ؟
115	corpus-6-train	MSA	ثلاث مرات .
116	corpus-6-train	MSA	أي نافذة تبيع الطوابع ؟
117	corpus-6-train	MSA	بعد أن هاجمني ، هرب في شاحنة بيضاء .
119	corpus-6-train	MSA	حسنا . من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار .
120	corpus-6-test-corpus-26-test	MSA	كنت سأشتري هذا إن كنت في مكانك ؟
122	corpus-6-train	MSA	مائتي دولار . فوري أم عبر البطاقات الائتمانية .
125	corpus-6-train	MSA	كم من الوقت تستغرق السفينة لعبور هذا المحيط ؟
128	corpus-6-train	MSA	هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ؟
129	corpus-6-test-corpus-26-train	MSA	هل لديك أحذية حريمي عند أصابع القدم ؟
130	corpus-6-test-corpus-26-train	MSA	هل ستواجهني أية صعوبات في الجمارك ؟
131	corpus-6-train	MSA	هل لي ببعض النبيذ الأحمر ؟
133	corpus-6-train	MSA	أخبرني عندما نصل إلى المتحف .
134	corpus-6-dev	MSA	هل يذهب هذا الأتوبيس إلى فندق الشيراتون .
135	corpus-6-dev	MSA	إلى أي شيء وصل ذلك الأمر ؟
136	corpus-6-dev	MSA	إنه ساخن بدرجة بسيطة . هل يمكن أن أفتح النافذة ؟
138	corpus-6-train	MSA	فقط دش يكفي .
139	corpus-6-dev	MSA	عيني محمرة قليلا .
140	corpus-6-test-corpus-26-train	MSA	لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .
142	corpus-6-dev	MSA	لا أستطيع تأكيد ذلك لكنا سنبذل قصارى جهدنا .
143	corpus-6-test-corpus-26-train	MSA	أريد تمويج متقارب لشعري ، من فضلك .
144	corpus-6-train	MSA	كان البحر إلى الأسفل من بعيد .
145	corpus-6-test-corpus-26-train	MSA	هي تريد بيرة .
146	corpus-6-train	MSA	أنت بحاجة إلى إجراء عملية .
147	corpus-6-train	MSA	المزيد من البيض من فضلك .
148	corpus-6-train	MSA	أين محطة الأتوبيس المتجه إلى سنترال بارك ؟
149	corpus-6-train	MSA	سيارة أجرة ؟
151	corpus-6-train	MSA	ها هو مفتاحك ، يا سيدي . غرفة ستة وخمسون إثنى عشر .
153	corpus-6-train	MSA	أحب الجاكت الخاص بك .
154	corpus-6-train	MSA	استمر .
155	corpus-6-train	MSA	ها نحن قد وصلنا هذا هو فندقك .
156	corpus-6-dev	MSA	متى بدأت مباراة كرة السلة ؟
157	corpus-6-test-corpus-26-train	MSA	صباح الخير . كيف حالك .
158	corpus-6-test-corpus-26-train	MSA	أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .
159	corpus-6-train	MSA	ماذا كان انطباعك ؟
160	corpus-6-train	MSA	بالتأكيد . هل ترغب في تناول القهوة مع العشاء أم بعد ذلك ؟
161	corpus-6-train	MSA	إنني سأستقل الرحلة الجوية رقم اثنى عشر المتجهة إلى طوكيو .
162	corpus-6-train	MSA	أود إجراء مكالمة دولية ، من فضلك ؟
163	corpus-6-train	MSA	خمسة أشهر .
168	corpus-6-train	MSA	في أي أيام الأسبوع تتم ؟
169	corpus-6-test-corpus-26-train	MSA	أي نوع من الملابس ؟
170	corpus-6-test-corpus-26-train	MSA	هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟
172	corpus-6-train	MSA	أريد بعض الجل المصفف للشعر .
173	corpus-6-test-corpus-26-test	MSA	أسف ، هذا المكان محجوز بالفعل .
174	corpus-6-train	MSA	هل لنا أن نطلع على القائمة ؟
175	corpus-6-train	MSA	مقاسي ستة .
176	corpus-6-test-corpus-26-train	MSA	أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟
177	corpus-6-test-corpus-26-test	MSA	شكراً ، هذا يكفي .
178	corpus-6-train	MSA	لن يقف أية سيارة أجرة ما لم تنتظر في موقف السيارات ؟
179	corpus-6-train	MSA	ميزانيتي لا تتجاوز الخمسون دولاراً في الليلة .
180	corpus-6-train	MSA	هل سنأخذ صورة معا ؟
181	corpus-6-train	MSA	كم تبلغ رسوم هذه الخدمة ؟
182	corpus-6-train	MSA	هل ارتفع إجمالي المبيعات في أمريكا الشمالية بما يزيد عن خمسة بالمائة ؟
184	corpus-6-test-corpus-26-train	MSA	من هو أفضل صديق لك ؟
186	corpus-6-train	MSA	هل تعلم أن أحد أكبر بطولات السومو ، نوع من المصارعة اليابانية التقليدية ، بطولة أمريكية ؟
187	corpus-6-test-corpus-26-train	MSA	يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .
188	corpus-6-train	MSA	هل هذا خاص بوول ستريت ؟
189	corpus-6-train	MSA	أرغب في تأجير هذه من الخامس حتى العاشر من ديسمبر .
191	corpus-6-train	MSA	بحالة جيدة ، وكيف حالك أنت ، يا سيدتي ؟
192	corpus-6-test-corpus-26-train	MSA	هل تريد أن افحص موتور السيارة ؟
195	corpus-6-train	MSA	سكر ؟
196	corpus-6-train	MSA	هل يمكنني أن ادفع عن طريق الماستر كارد ؟
198	corpus-6-train	MSA	هل هذا هو المكان المخصص لجمع الحقائب الخاصة برحلة ان دبليو رقم تسعة صفر سبعة ؟
199	corpus-6-train	MSA	سآخذ هذا النوع .
204	corpus-6-train	MSA	إنني سعيد جداً لأنني تمكنت من المجيء إلى هذا البلد .
205	corpus-6-train	MSA	اسمي وعنواني موجودين عليها .
206	corpus-6-test-corpus-26-train	MSA	هل لك أن تساعدني في الوصول إلى حقيبتي ؟
207	corpus-6-dev	MSA	أي نوع من الأحجار هذه ؟
208	corpus-6-train	MSA	أود أن أشير إلى أن حكومتنا تتعامل بشدة مع من يطلق عليهم أناس المراكب . لقد أدركت أن اليابان بالفعل به زيادة سكانية بالدرجة التي لا تسمح باستضافة هؤلاء الضيوف غير المدعوين . لكن ومن ناحية أخرى ، فإن العديد من القطاعات الصناعية لدينا بحاجة إلى يد عاملة .
209	corpus-6-train	MSA	من هذا الجبل ، تستطيع رؤية المدينة بأكملها . خلال هذا الموسم العديد من أنواع الزهور تزدهرـ إنها تبدو جميلة جداً .
213	corpus-6-train	MSA	اتبعني .
217	corpus-6-train	MSA	من فضلك أخبريه أنت يامادا قد اتصل .
221	corpus-6-test-corpus-26-train	MSA	هل ستقوم بعمل الترتيبات مقدماً ؟
224	corpus-6-train	MSA	حسنا ، من فضلك ضع هذه البيانات هنا . هل كانت حقيبة واحدة ؟
225	corpus-6-train	MSA	هل ترغب في تناول لحم بقري ، دجاج ، أم أسماك ؟
227	corpus-6-train	MSA	هل من الممكن أن تأخذ طرق مختلفة للذهاب والعودة .
228	corpus-6-train	MSA	هل يوجد مطعم للوجبات الخفيفة هنا ؟
229	corpus-6-dev	MSA	عذراً يا سيدي . أود استطلاع بعض الأماكن السياحية الموجودة في بوسطن .
232	corpus-6-train	MSA	هل لديك قائمة باللغة اليابانية .
235	corpus-6-train	MSA	إنها الواحدة وخمس دقائق .
238	corpus-6-test-corpus-26-train	MSA	تقدم إلىّ المساعدة ، شكراً لك .
239	corpus-6-train	MSA	أريد مسكن للألم .
240	corpus-6-train	MSA	من هي الممثلة المفضلة لديك .
241	corpus-6-train	MSA	أريد واحدة بيضاوية الشكل ؟
242	corpus-6-train	MSA	ما نوع الموسيقى التي يعزفونها هناك ؟
243	corpus-6-train	MSA	لا أحب هذا اللون ، من فضلك أرني لوناً آخر .
246	corpus-6-train	MSA	من فضلك خذني إلى السوق الصباحية .
248	corpus-6-train	MSA	الإطار الخاص بنظارتي قد كسر .
250	corpus-6-train	MSA	من الساعة الثالثة .
252	corpus-6-train	MSA	عظيم . لدي مقعد بجوار النافذة . آه ، إذا كنت ترغبين في تبادل المقاعد بعد ذلك , يا آنسة .
255	corpus-6-train	MSA	لقد استمتعت بجولة الاستطلاع للأماكن السياحية في نيويورك بالأمس .
256	corpus-6-dev	MSA	أنا معجب بالحقيبة الزرقاء الموجودة في شباك العرض .
258	corpus-6-train	MSA	اتصل بصاحب المبنى إذا واجهتك أية مشكلة .
259	corpus-6-train	MSA	اغسله بالشامبو وقم بتصفيفه كم هو الآن , من فضلك .
261	corpus-6-test-corpus-26-train	MSA	عندما تصل هناك أسأل شخص آخر ، من فضلك .
263	corpus-6-train	MSA	من فضلك أخبرني بأسرع طريقة للوصول إلى سان فرنسيسكو .
267	corpus-6-train	MSA	هل أستطيع الحصول على مفتاح الحجرة رقم اثنان خمس عشرة ؟
268	corpus-6-train	MSA	معذرة ، هل يمكنك أن تلتقط صوراً لي ؟
269	corpus-6-train	MSA	فقط أكتب رقم غرفة ووقع هنا .
271	corpus-6-train	MSA	اللون مقبول ، لكن المقاس غير صحيح . هل من الممكن أن تقوم بتغيرها في خلال ساعة ؟
272	corpus-6-train	MSA	سنكون في انتظارك في ذلك اليوم .
274	corpus-6-train	MSA	لدينا ما يكفينا للاستمرار لمدة يومين .
275	corpus-6-train	MSA	لا أستطيع أن أفهم ذلك .
277	corpus-6-train	MSA	كيف أستطيع أن أرجع مرة أخرى إلى وجهتي والمكان المقصود ؟
278	corpus-6-train	MSA	هل هذا معفى من الضرائب ؟
279	corpus-6-train	MSA	حسناً . إن عليهم أن يقوموا بلعب أدوار إضافية حتى يتم إنهاء حالة التعادل .
280	corpus-6-test-corpus-26-train	MSA	أريد الامتداد أربع وعشرون ، من فضلك .
281	corpus-6-train	MSA	هل يمكنك أن تتهجها ؟
285	corpus-6-test-corpus-26-train	MSA	تفضل هذان دولاران . احتفظ بالباقي .
286	corpus-6-train	MSA	متى الغداء ؟
287	corpus-6-train	MSA	أسف هذا كثير بالنسبة لي ؟
288	corpus-6-train	MSA	من أين أبدأ كي أصل إلى ميدان ينيون ؟
290	corpus-6-train	MSA	يمكن أن تستفسر من مكتب التأجير الموجود هناك .
293	corpus-6-train	MSA	هيه ، جاين . هل يمكنكما أخذ كل الأشياء إلى عمال النظافة ؟
296	corpus-6-train	MSA	أنا في إجازة .
298	corpus-6-train	MSA	لا . أنا أخطط لزيارة باريس في طريق عودتي إلى وطني .
299	corpus-6-dev	MSA	هل ستأخذها معك أم سيكون علينا أن نرسلها ؟
301	corpus-6-train	MSA	حدث مؤخراً انتشار في خبراء الطعام ، أليس كذلك ؟
302	corpus-6-train	MSA	قد حدثت منذ حوالي ست ساعات من الآن .
303	corpus-6-train	MSA	رحلة الخطوط الجوية دلتا رقم واحد واحد اثنان . تم تأخير موعد الركوب .
304	corpus-6-train	MSA	هل يمكنك أن تعطني اثنين لليلة ؟
305	corpus-6-train	MSA	هل يمكن أن تكتب لي بلاغ عن سرقة شركة التأمين الخاصة بي ، من فضلك ؟
306	corpus-6-train	MSA	بما أنني غير ماهر باستخدام الكاميرا . فأنا أعتقد أن كاميرا سهلة الاستعمال ربما تكون الأفضل لي .
307	corpus-6-train	MSA	هل هذا هو الرصيف الصحيح لنيويورك .
308	corpus-6-train	MSA	استمتع بإجازتك .
312	corpus-6-train	MSA	من فضلك أعطني بعض الشاش .
313	corpus-6-train	MSA	أريد بطاطس مشوية وعليها قشدة حامضة الطعم ، من فضلك .
314	corpus-6-train	MSA	نعم ، كل عشر دقائق .
315	corpus-6-test-corpus-26-train	MSA	واحد هامبرجر وواحد شيز برجر ، من فضلك .
319	corpus-6-test-corpus-26-train	MSA	كم تتقاضى لتطبيع صور الفيلم ؟
320	corpus-6-test-corpus-26-train	MSA	كلا منا يريد أن يحاسب على وجبته .
322	corpus-6-train	MSA	سأدفع الفاتورة صباح غد .
323	corpus-6-train	MSA	إني ذاهب إلى هناك ، أيضا . ما رأيك أن نأخذ سيارة أجرة معاً ؟
324	corpus-6-train	MSA	تفضل كرسي وخذ راحتك . هل أتي لك بشيء لتشربه ؟ قهوة ، شاي أم صودا ؟
325	corpus-6-train	MSA	أنه شيء رائع منك أن تقول ذلك .
326	corpus-6-test-corpus-26-train	MSA	المكان كان على كرسي في البهو .
327	corpus-6-train	MSA	لحم بقري مشوي ، من فضلك .
329	corpus-6-dev	MSA	ستكون المائدة جاهزة ؟
331	corpus-6-train	MSA	هل لازال متاح لي أن أغير طلبي ؟ أفضل سمك موسى بدلا من محار الصخر .
333	corpus-6-test-corpus-26-test	MSA	من فضلك غير هذه الينات إلى جنيهات .
336	corpus-6-train	MSA	يالها من عملية لاستئصال الزائدة الدودية ؟
338	corpus-6-train	MSA	هل سوف تعطيني الفواتير بالتفاصيل عن العلاج الطبي ؟
346	corpus-6-test-corpus-26-train	MSA	أريد قاموس جيب ، من فضلك .
349	corpus-6-train	MSA	حسناً ، أنا لا أعلم .
350	corpus-6-train	MSA	مبروك ، علمت أنه قد تم ترقيتك إلى نائب رئيس .
351	corpus-6-train	MSA	مساء بعد غد .
352	corpus-6-train	MSA	أنا أعيش في جنوب اليابان .
353	corpus-6-train	MSA	تذكرة ذهاب وعودة إلى شيكاغو ، من فضلك .
355	corpus-6-train	MSA	هل تحب أن تتناول مع البيض لحم خنزير مملح أو لحم من فخذ الخنزير ؟
358	corpus-6-train	MSA	للدراسة .
359	corpus-6-train	MSA	من فضلك ، أسرع .
360	corpus-6-test-corpus-26-train	MSA	لشخصين عند الساعة السابعة , الاسم وتاناب .
364	corpus-6-train	MSA	التكييف لا يعمل .
365	corpus-6-train	MSA	أنها هكذا كل يوم اثنين .
366	corpus-6-train	MSA	من فضلك اذهب على قاعة المغادرة الدولية , أتمنى لك رحلة سعيدة .
367	corpus-6-train	MSA	هل لديك أية رحلات إلى باريس عبر قطار يوروستار ؟
368	corpus-6-test-corpus-26-train	MSA	ساعتي . كانت ساعة سيكو رقمية .
369	corpus-6-train	MSA	لقد أحضرت الشهادة الطبية لطبيبي من اليابان .
370	corpus-6-test-corpus-26-train	MSA	يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .
373	corpus-6-test-corpus-26-test	MSA	هل تعيش بالقرب من هنا ؟
374	corpus-6-train	MSA	هل يمكنك أن ترسلها إلى اليابان ؟
375	corpus-6-test-corpus-26-train	MSA	أين محل الهدايا ؟
379	corpus-6-train	MSA	هل يمكن أن أرد عليك يوم الجمعة ؟
380	corpus-6-train	MSA	حسنا , دعني أتثبت من المفقود والموجود . أي نوع من الكاميرات هي ؟
381	corpus-6-train	MSA	أنا أسف جدا ، نحن نجهز لك الغرفة التي طلبتها .
383	corpus-6-train	MSA	أوه , أنها تظهر محطات مترو الأنفاق ومحطات الحافلات , هل لي أن أحتفظ بها ؟
384	corpus-6-train	MSA	آه لقد فقدت شبزوكي .
386	corpus-6-test-corpus-26-test	MSA	أنا على الطريق الرئيسي بجانب خليج موروا .
389	corpus-6-train	MSA	نعم ، نحن لدينا . منهج نصف يوم ، ومنهج ليوم كامل .
390	corpus-6-train	MSA	أحبذ حلق .
391	corpus-6-test-corpus-26-train	MSA	أريد منبه ، من فضلك .
392	corpus-6-train	MSA	أريد إلغاء حجزي ، من فضلك .
394	corpus-6-train	MSA	ما هو نظام الاسترداد ؟
397	corpus-6-train	MSA	الإضاءة لا تعمل .
398	corpus-6-test-corpus-26-dev	MSA	بالمناسبة ، اسمي هيروش إيجيما .
400	corpus-6-train	MSA	ما هو فارق التوقيت بين طوكيو وهنا ؟
401	corpus-6-test-corpus-26-dev	MSA	هذا القطار يتوقف في لاك فورست , أليس كذلك ؟
403	corpus-6-train	MSA	كم السعر الإجمالي ؟
404	corpus-6-train	MSA	شكراً يا سيدي .
405	corpus-6-train	MSA	تقدم للأمام اتجه يمنياً عند الناصية الثالثة .
407	corpus-6-train	MSA	أشعر بألم حاد في معدتي .
408	corpus-6-test-corpus-26-train	MSA	معظم اليابانيين يأكلون الأخطبوط والحبار .
411	corpus-6-train	MSA	هل رأيت ذلك ؟
412	corpus-6-train	MSA	أنها هدية . هل يمكنك أن تقوم بلف هذه الهدية لي .
414	corpus-6-train	MSA	مساء الخير ، السيدة كنت . لم نلتقي منذ زمن بعيد .
416	corpus-6-test-corpus-26-train	MSA	هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟
417	corpus-6-train	MSA	أنا أسعد .
419	corpus-6-test-corpus-26-train	MSA	لقد ذهبت إلى نيويورك .
422	corpus-6-train	MSA	أود أن أغير حجزي إلي الرحلة الجوية رقم اثنان صفر خمسة في الثاني من أكتوبر .
423	corpus-6-test-corpus-26-train	MSA	ما هو رقم الرحلة الجوية ؟
426	corpus-6-train	MSA	أين طاولة التسجيل الخاصة بشركة دلتا ؟
427	corpus-6-train	MSA	هل هذه وجبة منخفضة الصوديوم ؟
429	corpus-6-train	MSA	هذا البند غير مسموح به .
431	corpus-6-train	MSA	أعتقد أننا نستطيع . ها هي ورقتك .
432	corpus-6-train	MSA	ما هو أخر شئ خلعته من ملابسك , قبل أن تذهب للنوم ؟
437	corpus-6-train	MSA	لا ، سوف أخذها خلال فترة إقامتي .
438	corpus-6-train	MSA	هل هو ثابت اللون ؟
439	corpus-6-train	MSA	هل هذه خاصية خاصة بهذا الحي ؟
440	corpus-6-train	MSA	أريد بعض البسكويت .
442	corpus-6-test-corpus-26-test	MSA	واحد لنيويورك ، من فضلك .
446	corpus-6-test-corpus-26-train	MSA	لعدة أيام قليلة .
447	corpus-6-test-corpus-26-train	MSA	الثاني من على اليسار .
448	corpus-6-train	MSA	يبدون في حجم صغير جداً .
452	corpus-6-train	MSA	كيف كانت صعوبة الجولات ؟
454	corpus-6-dev	MSA	أريد مقعد بالقرب من النافذة , من فضلك .
456	corpus-6-train	MSA	هل أستطيع أن أركب القطار بتذكرة اشتراك ركوب القطار الأوروبي ؟
457	corpus-6-train	MSA	كم تستغرق كي تصل إلي اليابان ؟
458	corpus-6-train	MSA	هل لديك خرائط للطرق ؟
459	corpus-6-train	MSA	أو ، نعم . لقد قرأت عنه في الدليل .
461	corpus-6-train	MSA	لقد طلبت ثلاثة أكواب من الشاي . لكن لم يأتي ألا أثنين فقط .
462	corpus-6-train	MSA	الأجهزة الكهربائية رخيصة جداً , لكن مصاريف الأكل والسكن مرتفعة جداً .
463	corpus-6-train	MSA	سأتناولها بالخارج .
465	corpus-6-train	MSA	غالباً ما أخذ مقاس اثنتي وعشرين في اليابان .
466	corpus-6-train	MSA	ما هي ساعات عمل متحف الفن ؟
470	corpus-6-train	MSA	أين يجب أن أدفع أدفع ؟
471	corpus-6-test-corpus-26-dev	MSA	هذا الكارت , حسناً ؟
475	corpus-6-train	MSA	هل هذه هي أول رحلة خارجية لك ؟
477	corpus-6-train	MSA	أيهما الخاص بمنهج المبتدئين ؟
479	corpus-6-train	MSA	بالتأكيد هذا البلد به أكثر من نوع من الفاكهة .
480	corpus-6-dev	MSA	أريد التثبت من هذه الحقيبة .
482	corpus-6-train	MSA	هل هناك وجبات في مكان التزلج فوق هذا المنحدر ؟
483	corpus-6-train	MSA	معذرة ، لقد أغلقت الباب وأنا بالخارج ، هل من الممكن أن أحصل على مفتاح أخر ؟
485	corpus-6-train	MSA	حول هذه الدولارات الأمريكية إلي الين ياباني ، من فضلك .
487	corpus-6-dev	MSA	من الصعب قول كلمة وداعاً .
488	corpus-6-test-corpus-26-train	MSA	هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟
489	corpus-6-train	MSA	معذرة ، هل لي أن أستفسر منك عن أسم طبقك ؟ إنه يبدو لذيذاً .
490	corpus-6-train	MSA	أنهم يألمومنني .
492	corpus-6-train	MSA	أية بوابة أتوجه إليها بعد ذلك ؟
493	corpus-6-test-corpus-26-train	MSA	هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟
495	corpus-6-train	MSA	أعتقد أنها كانت ممتازة . تمثيل جيد وحبكة جيدة .
496	corpus-6-train	MSA	يا ، شكراً جزيلاً .
497	corpus-6-train	MSA	لم تعجبني هذه الحجرة . هل من الممكن أن أرى حجرة أخرى ؟
498	corpus-6-train	MSA	أنها أحدث موضة هذا الصيف .
499	corpus-6-train	MSA	أذهب بي إلى وسط المدينة ، من فضلك .
502	corpus-6-train	MSA	هل لي أن أؤجر سيارة ؟
503	corpus-6-test-corpus-26-train	MSA	أنه ذو مذاق غريب .
505	corpus-6-train	MSA	قم بإصلاحها أثناء وجودي بالخارج من فضللك .
507	corpus-6-train	MSA	هل لديكم وجبات خفيفة ؟
508	corpus-6-train	MSA	من فضلك تحدث ببطء .
509	corpus-6-train	MSA	سوف أحضر متأخرا ساعة .
511	corpus-6-train	MSA	أنا كن .
512	corpus-6-test-corpus-26-train	MSA	نعم . انتظر , سوف احضر لك واحدة .
513	corpus-6-train	MSA	نادل .
514	corpus-6-train	MSA	هل ستمطر طوال هذا الأسبوع ؟
516	corpus-6-test-corpus-26-train	MSA	نصف زجاجة , من فضلك .
517	corpus-6-train	MSA	هل لديهم عروض حية ؟
523	corpus-6-train	MSA	هل بإمكاني رؤية هذه الحقيبة ؟
524	corpus-6-train	MSA	هل لديك شيء آخر ؟
525	corpus-6-train	MSA	أنت بحاجة للراحة .
528	corpus-6-train	MSA	من فضلك إملأ بطاقة الوصول التالية واستمارة الجمارك .
530	corpus-6-train	MSA	هل هذه السيارة متجهة إلى سيتل ؟
531	corpus-6-train	MSA	هل يمكنني دفع جزء من الرسوم الآن ؟
532	corpus-6-train	MSA	هي طبيعي أم اصطناعي ؟
533	corpus-6-train	MSA	هل ستنتظرني هنا ؟
535	corpus-6-train	MSA	آه شكراً كنت أبحث عنها منذ قليل .
538	corpus-6-train	MSA	نقداً أم على بطاقة الائتمان ؟
539	corpus-6-train	MSA	أنا غريب تماماً على هذا المكان .
540	corpus-6-test-corpus-26-train	MSA	ليس تماماً . فقط شيء ما غير غالي الثمن .
541	corpus-6-dev	MSA	هل يمكن أن يتم غسيلها في المغسلة أم يدوياً في المنزل ؟
542	corpus-6-dev	MSA	أحتاج علبة ألوان مائية من فضلك .
543	corpus-6-train	MSA	آسف . ماذا كنت تريد ؟
544	corpus-6-train	MSA	أود أن أغير الميعاد إلى التاسع عشر من مايو .
545	corpus-6-train	MSA	من فضلك وقع هنا . وهذه فاتورة بمصروفاتك .
546	corpus-6-train	MSA	أريد بعض الجوارب الحريمي .
547	corpus-6-train	MSA	احتاج بعض لحوم الضأن .
548	corpus-6-test-corpus-26-train	MSA	هل تبحث عن شيء ما ؟
549	corpus-6-train	MSA	أود أن تقلني الحافلة المتجهة إلى محطة بين فأي الحافلات أركب ؟
551	corpus-6-test-corpus-26-train	MSA	أربع ليالي .
553	corpus-6-test-corpus-26-train	MSA	أريد بعض الجوارب الرجالي .
